ElapsedSeconds,FusedEstimate,ThermistorRate,StrainRate
0,12.86,12.24,11.88
20,12.61,11.65,11.76
40,11.71,11.21,11.54
60,11.97,11.11,11.11
80,11.63,11.01,10.62
100,12.53,13.48,13.48
120,11.76,11.21,11.11
140,12.23,11.76,11.65
160,11.96,11.56,11.76
180,11.82,11.21,11.21
