ElapsedSeconds,FusedEstimate,ThermistorRate,StrainRate
0,12.07,11.76,11.76
20,15.63,17.65,21.05
40,12.19,12.12,11.76
60,15.02,15.38,12.9
80,13.64,33.33,11.54
100,12.88,12.77,12.0
120,12.31,21.05,11.32
140,13.18,12.9,11.11
160,12.61,11.11,10.08
180,11.46,10.17,10.34
200,12.39,11.88,12.5
220,13.01,20.0,9.6
240,17.12,11.11,11.43
260,11.69,7.69,8.22
