ElapsedSeconds,FusedEstimate,ThermistorRate,StrainRate
0,12.86,10.26,10.17
20,12.53,13.33,13.64
40,11.82,10.81,11.21
60,12.22,12.5,12.77
80,12.31,12.63,12.77
100,11.89,11.76,11.88
120,12.32,12.63,12.77
140,12.67,13.04,12.9
160,13.05,14.46,14.29
180,12.69,13.79,13.48
200,12.05,12.37,12.24
220,12.24,13.19,13.48
