ElapsedSeconds,FusedEstimate,ThermistorRate,StrainRate
0,12.33,12.77,12.77
20,11.39,10.26,10.71
40,12.36,12.0,11.43
60,11.43,11.11,10.08
80,12.04,11.65,12.5
100,11.94,10.91,12.77
120,13.44,41.38,11.32
140,11.98,12.24,11.32
160,15.18,13.33,12.63
180,15.98,22.64,13.79
200,13.89,14.63,14.81
220,14.67,18.46,17.65
240,22.43,24.0,22.64
